run_name	grating_value[um]	date_time	SAW_freq[Hz]	SAW_freq_error[Hz]	A[Wm^-2]	A_err[Wm^-2]	alpha[m^2s^-1]	alpha_err[m2s-1]	beta[s^0.5]	beta_err[s^0.5]	B[Wm^-2]	B_err[Wm^-2]	theta	theta_err	tau[s]	tau_err[s]	C[Wm^-2]	C_err[Wm^-2]
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-182.txt	2025_09_04_20:48:44	3.5217	7.27E+08	5852.6762	0.20666284	0.001998008	1.02E-05	3.33E-08	1.17E-05	3.67E-07	0.024340805	9.48E-05	-1.4963731	0.003864716	1.98E-08	NaN	0.001011776	1.90E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-183.txt	2025_09_04_20:49:44	3.5217	7.27E+08	6066.3628	0.19660901	0.00194463	1.01E-05	3.33E-08	9.96E-06	3.95E-07	0.024525697	9.47E-05	-1.5038977	0.003831583	1.97E-08	NaN	0.00104637	1.91E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-184.txt	2025_09_04_20:50:44	3.5217	7.27E+08	6054.6354	0.1941626	0.002040053	1.01E-05	3.55E-08	1.02E-05	4.17E-07	0.02412992	9.93E-05	-1.4826843	0.004083993	1.97E-08	NaN	0.001423141	2.01E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-185.txt	2025_09_04_20:51:44	3.5217	7.27E+08	6078.0004	0.19731666	0.002007305	1.01E-05	3.47E-08	1.12E-05	3.94E-07	0.024120048	9.83E-05	-1.4956207	0.004042766	1.97E-08	NaN	0.000996366	1.99E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-186.txt	2025_09_04_20:52:44	3.5217	7.27E+08	5753.739	0.1954445	0.001961821	1.01E-05	3.41E-08	1.06E-05	3.94E-07	0.023941761	9.48E-05	-1.4849751	0.003929958	1.99E-08	NaN	0.001053313	1.93E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-187.txt	2025_09_04_20:53:45	3.5217	7.27E+08	5725.8184	0.19775976	0.001952803	1.01E-05	3.36E-08	1.07E-05	3.87E-07	0.024429494	9.49E-05	-1.4747705	0.00385506	1.97E-08	NaN	0.001053871	1.91E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-188.txt	2025_09_04_20:54:45	3.5217	7.28E+08	5709.5402	0.19241371	0.001874225	1.01E-05	3.41E-08	1.17E-05	3.69E-07	0.022826914	0.000135525	-0.83225231	0.003997316	2.02E-08	1.51E-10	0.001019005	1.92E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-189.txt	2025_09_04_20:55:45	3.5217	7.27E+08	5712.6857	0.19603613	0.001977633	1.01E-05	3.47E-08	1.19E-05	3.83E-07	0.023606059	0.000140096	-1.494536	0.00398864	2.00E-08	1.47E-10	0.001147063	1.94E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-190.txt	2025_09_04_20:56:45	3.5217	7.27E+08	6589.604	0.20062034	0.002100989	1.01E-05	3.55E-08	1.05E-05	4.12E-07	0.024558767	0.000103207	-1.5137044	0.004168048	1.94E-08	NaN	0.001091751	2.06E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-191.txt	2025_09_04_20:57:45	3.5217	7.28E+08	5855.7046	0.18901323	0.001904932	1.00E-05	3.42E-08	1.08E-05	3.95E-07	0.023550652	9.29E-05	-1.5286125	0.003914098	1.98E-08	NaN	0.000876605	1.89E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-192.txt	2025_09_04_20:58:45	3.5217	7.28E+08	5972.2133	0.20267309	0.001944288	1.02E-05	3.36E-08	1.31E-05	3.52E-07	0.023419797	9.25E-05	-1.5017327	0.003917105	1.98E-08	NaN	0.000884877	1.86E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-193.txt	2025_09_04_20:59:46	3.5217	7.27E+08	5948.7852	0.19908947	0.002043055	1.01E-05	3.53E-08	1.16E-05	3.93E-07	0.024167445	9.87E-05	-1.5083377	0.004053669	1.97E-08	NaN	0.001293766	1.99E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-194.txt	2025_09_04_21:00:46	3.5217	7.27E+08	6078.9031	0.19671299	0.001936927	1.01E-05	3.37E-08	1.12E-05	3.81E-07	0.024224852	9.55E-05	-1.5020392	0.003909324	1.93E-08	NaN	0.000939969	1.89E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-195.txt	2025_09_04_21:01:46	3.5217	7.27E+08	6038.1241	0.20045957	0.002025067	1.01E-05	3.49E-08	1.20E-05	3.83E-07	0.024164118	9.83E-05	-1.4966768	0.004036452	1.96E-08	NaN	0.001076352	1.97E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-196.txt	2025_09_04_21:02:46	3.5217	7.27E+08	6091.4834	0.19193848	0.001895762	1.00E-05	3.36E-08	1.10E-05	3.86E-07	0.024003287	9.38E-05	-1.5024179	0.003876734	1.95E-08	NaN	0.000957574	1.89E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-197.txt	2025_09_04_21:03:46	3.5217	7.27E+08	5804.1268	0.19903433	0.001941772	1.01E-05	3.34E-08	1.13E-05	3.76E-07	0.024215587	9.50E-05	-1.4746022	0.003893779	1.95E-08	NaN	0.001247825	1.90E-05
/Users/aliciae/projects/shortlab/TGS-Processing-Scripts/MATLAB/pi3/2025-09-04/irradiation/V44_832864_470C-09-04-2025-03.40um-470C-Fe3p-5MeV-irradiation-POS-198.txt	2025_09_04_21:04:46	3.5217	7.28E+08	6029.8363	0.19490447	0.00195713	1.01E-05	3.45E-08	1.16E-05	3.84E-07	0.023682527	9.50E-05	-1.509265	0.003978869	1.97E-08	NaN	0.001161258	1.92E-05
