Study Name	Tungsten_Calibration
Sample Name	09-03-2025
Run Name	spot01
Operator	Alicia
Date	9/3/2025
Time	11:53
Sign	FIX
Grating Spacing	03.40um
Channel	3
Number Traces	10000
Files in Batch	1
Batch Number	1
dt	50.000001E-12
time stamp (ms)	11:53:45 AM
	
Time	Amplitude
2.735000E-8	3.419076E-3
2.740000E-8	3.917544E-3
2.745000E-8	4.287542E-3
2.750000E-8	4.510225E-3
2.755000E-8	4.577030E-3
2.760000E-8	4.474253E-3
2.765000E-8	4.191616E-3
2.770000E-8	3.763379E-3
2.775000E-8	3.223800E-3
2.780000E-8	2.574592E-3
2.785000E-8	1.863717E-3
2.790000E-8	1.157982E-3
2.795000E-8	4.779408E-4
2.800000E-8	-1.764061E-4
2.805000E-8	-7.296890E-4
2.810000E-8	-1.109964E-3
2.815000E-8	-1.336073E-3
2.820000E-8	-1.418295E-3
2.825000E-8	-1.318944E-3
2.830000E-8	-1.046585E-3
2.835000E-8	-6.645969E-4
2.840000E-8	-1.849709E-4
2.845000E-8	3.871544E-4
2.850000E-8	1.000391E-3
2.855000E-8	1.601636E-3
2.860000E-8	2.172048E-3
2.865000E-8	2.694498E-3
2.870000E-8	3.131300E-3
2.875000E-8	3.446483E-3
2.880000E-8	3.617778E-3
2.885000E-8	3.660602E-3
2.890000E-8	3.590371E-3
2.895000E-8	3.393382E-3
2.900000E-8	3.064495E-3
2.905000E-8	2.624267E-3
2.910000E-8	2.091540E-3
2.915000E-8	1.486868E-3
2.920000E-8	8.650675E-4
2.925000E-8	2.706738E-4
2.930000E-8	-3.048774E-4
2.935000E-8	-8.239013E-4
2.940000E-8	-1.211028E-3
2.945000E-8	-1.449128E-3
2.950000E-8	-1.558757E-3
2.955000E-8	-1.527924E-3
2.960000E-8	-1.336073E-3
2.965000E-8	-1.019178E-3
2.970000E-8	-6.166343E-4
2.975000E-8	-1.284435E-4
2.980000E-8	4.179875E-4
2.985000E-8	9.798351E-4
2.990000E-8	1.527979E-3
2.995000E-8	2.036725E-3
3.000000E-8	2.461537E-3
3.005000E-8	2.783572E-3
3.010000E-8	3.006255E-3
3.015000E-8	3.102180E-3
3.020000E-8	3.069634E-3
3.025000E-8	2.924033E-3
3.030000E-8	2.668804E-3
3.035000E-8	2.297094E-3
3.040000E-8	1.831171E-3
3.045000E-8	1.286453E-3
3.050000E-8	6.697912E-4
3.055000E-8	2.743492E-5
3.060000E-8	-5.977918E-4
3.065000E-8	-1.193898E-3
3.070000E-8	-1.736904E-3
3.075000E-8	-2.156576E-3
3.080000E-8	-2.408380E-3
3.085000E-8	-2.500879E-3
3.090000E-8	-2.418658E-3
3.095000E-8	-2.139447E-3
3.100000E-8	-1.687228E-3
3.105000E-8	-1.111677E-3
3.110000E-8	-4.539040E-4
3.115000E-8	2.655350E-4
3.120000E-8	9.883999E-4
3.125000E-8	1.644460E-3
3.130000E-8	2.197743E-3
3.135000E-8	2.636258E-3
3.140000E-8	2.930885E-3
3.145000E-8	3.049079E-3
3.150000E-8	3.001116E-3
3.155000E-8	2.807553E-3
3.160000E-8	2.461537E-3
3.165000E-8	1.985337E-3
3.170000E-8	1.423489E-3
3.175000E-8	8.136790E-4
3.180000E-8	1.678968E-4
3.185000E-8	-4.795983E-4
3.190000E-8	-1.092834E-3
3.195000E-8	-1.646117E-3
3.200000E-8	-2.124030E-3
3.205000E-8	-2.500879E-3
3.210000E-8	-2.733841E-3
3.215000E-8	-2.819488E-3
3.220000E-8	-2.774951E-3
3.225000E-8	-2.607082E-3
3.230000E-8	-2.297038E-3
3.235000E-8	-1.875653E-3
3.240000E-8	-1.396027E-3
3.245000E-8	-8.650121E-4
3.250000E-8	-2.877479E-4
3.255000E-8	2.946551E-4
3.260000E-8	8.359473E-4
3.265000E-8	1.327564E-3
3.270000E-8	1.745524E-3
3.275000E-8	2.053855E-3
3.280000E-8	2.235428E-3
3.285000E-8	2.279964E-3
3.290000E-8	2.182326E-3
3.295000E-8	1.947652E-3
3.300000E-8	1.582794E-3
3.305000E-8	1.113445E-3
3.310000E-8	5.755789E-4
3.315000E-8	1.740669E-6
3.320000E-8	-5.840882E-4
3.325000E-8	-1.144223E-3
3.330000E-8	-1.627275E-3
3.335000E-8	-1.998985E-3
3.340000E-8	-2.254215E-3
3.345000E-8	-2.380973E-3
3.350000E-8	-2.394676E-3
3.355000E-8	-2.288474E-3
3.360000E-8	-2.057225E-3
3.365000E-8	-1.712922E-3
3.370000E-8	-1.300101E-3
3.375000E-8	-8.427437E-4
3.380000E-8	-3.579788E-4
3.385000E-8	1.353508E-4
3.390000E-8	6.064120E-4
3.395000E-8	1.032937E-3
3.400000E-8	1.387517E-3
3.405000E-8	1.637608E-3
3.410000E-8	1.779783E-3
3.415000E-8	1.819181E-3
3.420000E-8	1.731820E-3
3.425000E-8	1.524553E-3
3.430000E-8	1.217935E-3
3.435000E-8	8.205308E-4
3.440000E-8	3.391918E-4
3.445000E-8	-1.815450E-4
3.450000E-8	-6.954300E-4
3.455000E-8	-1.192186E-3
3.460000E-8	-1.652969E-3
3.465000E-8	-2.055512E-3
3.470000E-8	-2.356992E-3
3.475000E-8	-2.536851E-3
3.480000E-8	-2.608795E-3
3.485000E-8	-2.574536E-3
3.490000E-8	-2.415232E-3
3.495000E-8	-2.122317E-3
3.500000E-8	-1.721487E-3
3.505000E-8	-1.243574E-3
3.510000E-8	-7.159854E-4
3.515000E-8	-1.541378E-4
